Location,Month,Pollutant,Concentration
/S BARLBOROUGH BROO,01,Alky pH 4.5,300.0000
/S BARLBOROUGH BROO,01,Ammonia(N),0.0220
/S BARLBOROUGH BROO,01,C - Org Filt,301.0000
/S BARLBOROUGH BROO,01,Chloride Ion,30.0000
/S BARLBOROUGH BROO,01,Cond @ 25C,839.0000
/S BARLBOROUGH BROO,01,NH3 un-ion,0.0003
/S BARLBOROUGH BROO,01,Nitrate-N,5.6900
/S BARLBOROUGH BROO,01,Nitrite-N,0.0065
/S BARLBOROUGH BROO,01,O Diss %sat,9901.0000
/S BARLBOROUGH BROO,01,Temp Water,4.4000
/S BARLBOROUGH BROO,01,pH,8.3400
/S BARLBOROUGH BROO,02,Alky pH 4.5,260.0000
/S BARLBOROUGH BROO,02,Ammonia(N),0.0320
/S BARLBOROUGH BROO,02,C - Org Filt,301.0000
/S BARLBOROUGH BROO,02,Chloride Ion,110.0000
/S BARLBOROUGH BROO,02,Cond @ 25C,962.0000
/S BARLBOROUGH BROO,02,NH3 un-ion,0.0005
/S BARLBOROUGH BROO,02,Nitrate-N,2.3900
/S BARLBOROUGH BROO,02,Nitrite-N,0.0140
/S BARLBOROUGH BROO,02,O Diss %sat,9901.0000
/S BARLBOROUGH BROO,02,Temp Water,8.7000
/S BARLBOROUGH BROO,02,pH,8.1700
/S BARLBOROUGH BROO,03,Alky pH 4.5,180.0000
/S BARLBOROUGH BROO,03,Ammonia(N),0.0530
/S BARLBOROUGH BROO,03,C - Org Filt,301.0000
/S BARLBOROUGH BROO,03,Chloride Ion,22.0000
/S BARLBOROUGH BROO,03,Cond @ 25C,507.0000
/S BARLBOROUGH BROO,03,NH3 un-ion,0.0007
/S BARLBOROUGH BROO,03,Nitrate-N,3.0900
/S BARLBOROUGH BROO,03,Nitrite-N,0.0092
/S BARLBOROUGH BROO,03,O Diss %sat,9901.0000
/S BARLBOROUGH BROO,03,Temp Water,6.2000
/S BARLBOROUGH BROO,03,pH,8.0700
/S BARLBOROUGH BROO,04,Alky pH 4.5,270.0000
/S BARLBOROUGH BROO,04,Ammonia(N),0.0140
/S BARLBOROUGH BROO,04,C - Org Filt,301.0000
/S BARLBOROUGH BROO,04,Chloride Ion,25.0000
/S BARLBOROUGH BROO,04,Cond @ 25C,732.0000
/S BARLBOROUGH BROO,04,NH3 un-ion,0.0003
/S BARLBOROUGH BROO,04,Nitrate-N,3.7900
/S BARLBOROUGH BROO,04,Nitrite-N,0.0054
/S BARLBOROUGH BROO,04,O Diss %sat,9901.0000
/S BARLBOROUGH BROO,04,Temp Water,9.8000
/S BARLBOROUGH BROO,04,pH,8.1900
/S BARLBOROUGH BROO,05,Alky pH 4.5,300.0000
/S BARLBOROUGH BROO,05,Ammonia(N),0.0170
/S BARLBOROUGH BROO,05,C - Org Filt,301.0000
/S BARLBOROUGH BROO,05,Chloride Ion,32.0000
/S BARLBOROUGH BROO,05,Cond @ 25C,862.0000
/S BARLBOROUGH BROO,05,NH3 un-ion,0.0004
/S BARLBOROUGH BROO,05,Nitrate-N,3.8900
/S BARLBOROUGH BROO,05,Nitrite-N,0.0076
/S BARLBOROUGH BROO,05,O Diss %sat,9901.0000
/S BARLBOROUGH BROO,05,Temp Water,14.7000
/S BARLBOROUGH BROO,05,pH,8.3000
/S BARLBOROUGH BROO,06,Alky pH 4.5,310.0000
/S BARLBOROUGH BROO,06,Ammonia(N),0.0049
/S BARLBOROUGH BROO,06,C - Org Filt,301.0000
/S BARLBOROUGH BROO,06,Chloride Ion,36.0000
/S BARLBOROUGH BROO,06,Cond @ 25C,902.0000
/S BARLBOROUGH BROO,06,NH3 un-ion,0.0001
/S BARLBOROUGH BROO,06,Nitrate-N,3.0900
/S BARLBOROUGH BROO,06,Nitrite-N,0.0060
/S BARLBOROUGH BROO,06,O Diss %sat,9901.0000
/S BARLBOROUGH BROO,06,Temp Water,12.5000
/S BARLBOROUGH BROO,06,pH,8.3500
/S BARLBOROUGH BROO,07,Alky pH 4.5,280.0000
/S BARLBOROUGH BROO,07,Ammonia(N),0.0064
/S BARLBOROUGH BROO,07,C - Org Filt,301.0000
/S BARLBOROUGH BROO,07,Chloride Ion,33.0000
/S BARLBOROUGH BROO,07,Cond @ 25C,822.0000
/S BARLBOROUGH BROO,07,NH3 un-ion,0.0002
/S BARLBOROUGH BROO,07,Nitrate-N,2.3900
/S BARLBOROUGH BROO,07,Nitrite-N,0.0120
/S BARLBOROUGH BROO,07,O Diss %sat,9901.0000
/S BARLBOROUGH BROO,07,Temp Water,15.2000
/S BARLBOROUGH BROO,07,pH,8.1800
/S BARLBOROUGH BROO,08,Alky pH 4.5,320.0000
/S BARLBOROUGH BROO,08,Ammonia(N),0.0100
/S BARLBOROUGH BROO,08,C - Org Filt,301.0000
/S BARLBOROUGH BROO,08,Chloride Ion,40.0000
/S BARLBOROUGH BROO,08,Cond @ 25C,945.0000
/S BARLBOROUGH BROO,08,Flow Type,5.0000
/S BARLBOROUGH BROO,08,NH3 un-ion,0.0003
/S BARLBOROUGH BROO,08,Nitrate-N,2.2000
/S BARLBOROUGH BROO,08,Nitrite-N,0.0042
/S BARLBOROUGH BROO,08,O Diss %sat,9901.0000
/S BARLBOROUGH BROO,08,Temp Water,14.4000
/S BARLBOROUGH BROO,08,pH,8.2600
